"","product_code","station_number","year","month","mean_max","quality"
"439","IDCJAC0002","040214",1923,"July",20.1,"Y"
"440","IDCJAC0002","040214",1923,"August",20.5,"Y"
"441","IDCJAC0002","040214",1923,"September",25.3,"Y"
"442","IDCJAC0002","040214",1923,"October",27.1,"Y"
"443","IDCJAC0002","040214",1923,"November",27.9,"Y"
"444","IDCJAC0002","040214",1923,"December",29.8,"Y"
"445","IDCJAC0002","040214",1924,"January",31.3,"Y"
"446","IDCJAC0002","040214",1924,"February",29.9,"Y"
"447","IDCJAC0002","040214",1924,"March",28.3,"Y"
"448","IDCJAC0002","040214",1924,"April",25.8,"Y"
"449","IDCJAC0002","040214",1924,"May",23.2,"Y"
"450","IDCJAC0002","040214",1924,"June",20.1,"Y"
"451","IDCJAC0002","040214",1924,"July",20.7,"Y"
"452","IDCJAC0002","040214",1924,"August",22,"Y"
"453","IDCJAC0002","040214",1924,"September",24.3,"Y"
"454","IDCJAC0002","040214",1924,"October",26,"Y"
"455","IDCJAC0002","040214",1924,"November",27.2,"Y"
"456","IDCJAC0002","040214",1924,"December",27.8,"Y"
"457","IDCJAC0002","040214",1925,"January",27.5,"Y"
"458","IDCJAC0002","040214",1925,"February",30,"Y"
"459","IDCJAC0002","040214",1925,"March",26,"Y"
"460","IDCJAC0002","040214",1925,"April",25.4,"Y"
"461","IDCJAC0002","040214",1925,"May",22,"Y"
"462","IDCJAC0002","040214",1925,"June",20.6,"Y"
"463","IDCJAC0002","040214",1925,"July",19.5,"Y"
"464","IDCJAC0002","040214",1925,"August",20.9,"Y"
"465","IDCJAC0002","040214",1925,"September",23.4,"Y"
"466","IDCJAC0002","040214",1925,"October",25.7,"Y"
